"Space","Folder","List","Record Type","Epic ID","Feature ID","Task ID","Parent Task ID","Task Name","Description","Status","Priority","Area","Sprint","Release","Story Points","Dependencies","Spec Source","Acceptance Criteria","Tags"
"VCSA Product","WL Sales Academy E2E","02 Product Backlog","Feature","E09","F09.5","F09.5","E09","Sensitive access grants","Allow admins to grant/revoke sensitive material access with audit logging.","Backlog","P1","Webapp, Backend, Security/Compliance","Sprint 8","Release 3","5","F04.6,F06.7","doc/specs/wl-sales-academy/10-SECURITY-COMPLIANCE.md","Sensitive access can be granted and revoked safely.","security,admin"
"VCSA Product","WL Sales Academy E2E","02 Product Backlog","Feature","E09","F09.6","F09.6","E09","Audit log viewer","Build searchable audit log viewer for critical actions.","Backlog","P1","Webapp, Backend, Security/Compliance","Sprint 8","Release 3","5","F06.7","doc/specs/wl-sales-academy/10-SECURITY-COMPLIANCE.md","Admin can inspect audit events by actor, action, target, and date.","audit,admin"
"VCSA Product","WL Sales Academy E2E","02 Product Backlog","Feature","E09","F09.7","F09.7","E09","Admin dashboard","Build admin summary for users, completions, content status, role permissions, and sensitive access.","Backlog","P2","Webapp, Backend","Sprint 8","Release 3","5","F09.1,F09.2,F09.6","doc/specs/wl-sales-academy/07-API-SPEC.md","Dashboard summarizes operational health.","admin,dashboard"
"VCSA Product","WL Sales Academy E2E","03 Release QA","Epic","E10","","E10","","QA Observability and Release","Add automated testing, release QA, monitoring, and launch readiness.","Backlog","P0","QA, DevOps, Security/Compliance","Sprint 1-8","Release 0-3","34","","doc/specs/wl-sales-academy/11-QA-TEST-MATRICES.md","Critical tests and release checklist pass.","qa,release"
"VCSA Product","WL Sales Academy E2E","03 Release QA","Feature","E10","F10.1","F10.1","E10","Unit tests for domain logic","Test Blueprint, GoalSheet, permissions, progress, and certification calculations.","Backlog","P0","QA, Domain","Sprint 2","Release 0","5","E02","doc/specs/wl-sales-academy/11-QA-TEST-MATRICES.md","Domain tests cover critical calculations and rules.","qa,unit"
"VCSA Product","WL Sales Academy E2E","03 Release QA","Feature","E10","F10.2","F10.2","E10","API permission tests","Test unauthenticated, wrong role, wrong scope, authorized success, validation errors, and sensitive filtering.","Backlog","P0","QA, Backend, Security/Compliance","Sprint 4-8","Release 2","8","E04,E06","doc/specs/wl-sales-academy/07-API-SPEC.md","Protected endpoint matrix passes.","qa,api"
"VCSA Product","WL Sales Academy E2E","03 Release QA","Feature","E10","F10.3","F10.3","E10","Mobile screen tests","Validate core mobile screens across target sizes and states.","Backlog","P0","QA, Mobile","Sprint 4-8","Release 1","5","E05","doc/specs/wl-sales-academy/08-UX-DESIGN-SPEC.md","Required mobile screens pass smoke/regression checks.","qa,mobile"
"VCSA Product","WL Sales Academy E2E","03 Release QA","Feature","E10","F10.4","F10.4","E10","Webapp smoke tests","Validate admin and manager web flows.","Backlog","P1","QA, Webapp","Sprint 7-8","Release 3","3","E08,E09","doc/specs/wl-sales-academy/11-QA-TEST-MATRICES.md","Critical web routes load and enforce roles.","qa,webapp"
"VCSA Product","WL Sales Academy E2E","03 Release QA","Feature","E10","F10.5","F10.5","E10","E2E critical paths","Test rep first run, daily rep flow, roadmap training, GoalSheet, roleplay, trainer review, certification, and sensitive access.","Backlog","P0","QA, Product","Sprint 8","Release 3","8","E05,E06,E08,E09","doc/specs/wl-sales-academy/05-USER-FLOWS.md","Critical user flows pass end to end.","qa,e2e"
"VCSA Product","WL Sales Academy E2E","03 Release QA","Feature","E10","F10.6","F10.6","E10","CI pipeline","Run typecheck, tests, lint, and build checks in CI.","Backlog","P0","DevOps, QA","Sprint 1","Release 0","5","F01.6","doc/specs/wl-sales-academy/wiki/04-TECHNICAL-WIKI.md","CI blocks regressions on PRs.","ci"
"VCSA Product","WL Sales Academy E2E","03 Release QA","Feature","E10","F10.7","F10.7","E10","Monitoring and error tracking","Add logging, health checks, and error tracking plan.","Backlog","P1","DevOps, Backend","Sprint 8","Release 3","5","","doc/MONITORING.md","Production errors and health can be monitored.","monitoring"
"VCSA Product","WL Sales Academy E2E","03 Release QA","Feature","E10","F10.8","F10.8","E10","Mobile and web release checklist","Create final release checklist for iOS, Android, web, backend, security, and docs.","Backlog","P0","QA, DevOps, Product","Sprint 8","Release 3","3","F10.5","doc/specs/wl-sales-academy/12-IMPLEMENTATION-ROADMAP.md","Launch candidate has documented pass/fail checklist.","release"
"VCSA Product","WL Sales Academy E2E","04 Post MVP","Epic","E11","","E11","","Post-MVP Growth","Advanced capabilities after MVP release.","Backlog","P2/P3","Product, Mobile, Webapp, AI","Post MVP","Post MVP","21","","doc/specs/wl-sales-academy/12-IMPLEMENTATION-ROADMAP.md","Post-MVP scope is separated from launch-critical work.","post-mvp"
"VCSA Product","WL Sales Academy E2E","04 Post MVP","Feature","E11","F11.1","F11.1","E11","Push/email reminders","Add reminders for follow-ups, reviews, modules, and certification tasks.","Backlog","P2","Mobile, Backend, DevOps","Post MVP","Post MVP","5","","doc/specs/wl-sales-academy/01-SRS.md","Users receive scoped reminders.","notifications"
"VCSA Product","WL Sales Academy E2E","04 Post MVP","Feature","E11","F11.2","F11.2","E11","Offline-friendly caching","Support mobile caching for roadmap, resources, and pending GoalSheet draft.","Backlog","P2","Mobile, Backend","Post MVP","Post MVP","5","","doc/specs/wl-sales-academy/12-IMPLEMENTATION-ROADMAP.md","Mobile app handles limited offline use.","offline"
"VCSA Product","WL Sales Academy E2E","04 Post MVP","Feature","E11","F11.3","F11.3","E11","Advanced analytics","Build richer manager/admin analytics and trends.","Backlog","P2","Webapp, Backend, Data","Post MVP","Post MVP","5","","doc/specs/wl-sales-academy/02-PRD.md","Analytics support product success metrics.","analytics"
"VCSA Product","WL Sales Academy E2E","04 Post MVP","Feature","E11","F11.4","F11.4","E11","AI transcript scoring","Score roleplay transcripts with deeper AI analysis.","Backlog","P2","AI, Backend, QA","Post MVP","Post MVP","5","F07.5","doc/specs/wl-sales-academy/12-IMPLEMENTATION-ROADMAP.md","Transcript scoring passes evaluation tests.","ai,roleplay"
"VCSA Product","WL Sales Academy E2E","04 Post MVP","Feature","E11","F11.5","F11.5","E11","Multi-tenant white-label branding","Support organization-specific branding and configuration.","Backlog","P3","Product, Backend, Mobile, Webapp","Post MVP","Post MVP","8","","doc/specs/wl-sales-academy/12-IMPLEMENTATION-ROADMAP.md","Branding can vary by organization.","white-label"
"VCSA Product","WL Sales Academy E2E","04 Post MVP","Feature","E11","F11.6","F11.6","E11","CRM integrations","Integrate selected external CRM data where approved.","Backlog","P3","Backend, Data, Product","Post MVP","Post MVP","8","","doc/specs/wl-sales-academy/12-IMPLEMENTATION-ROADMAP.md","CRM integration has scoped data contract.","crm"
"VCSA Product","WL Sales Academy E2E","04 Post MVP","Feature","E11","F11.7","F11.7","E11","Real-time video roleplay","Evaluate and build real-time video roleplay if separately approved.","Backlog","P3","Mobile, Backend, DevOps","Post MVP","Post MVP","13","","doc/specs/wl-sales-academy/02-PRD.md","Video roleplay is planned only after approval.","video"
